id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5493930,Luxurious En Suite 1 Near Orchard,28489587,Anita & David,Central Region,Novena,1.3174,103.84796,Private room,200,92,266,2020-02-15,3.00,3,82,0,
5494971,Grand En Suite 2 Near Orchard,28489587,Anita & David,Central Region,Novena,1.31778,103.84769,Private room,99,92,208,2020-02-23,2.36,3,113,0,
5504230,Family Apartment in Central - min walk to 3 MRTs,21149720,Mike,Central Region,Kallang,1.30933,103.85843,Entire home/apt,236,92,9,2018-04-20,0.10,16,365,0,
5529062,600sqft New York Bachelor Suite. SG,28378691,Leon,Central Region,Bukit Merah,1.27513,103.83581,Entire home/apt,500,92,0,,,1,365,0,
5551665,"HVIr1-Holland Village Condo, 1 min away from MRT",25185912,Rebekah,Central Region,Bukit Timah,1.31269,103.79714,Private room,59,92,18,2021-09-12,0.21,16,364,1,
5573458,"Amazing MasterBed Room, mins to MRT",28809566,Property,North Region,Sembawang,1.44061,103.82386,Private room,208,92,3,2017-07-06,0.04,5,364,0,
5584157,SGP Cool Rm W laundry n housekeep.$850/Mth (1pax),28954164,Michelle,North Region,Woodlands,1.44162,103.79304,Private room,26,93,112,2021-04-12,1.28,3,312,0,
5609608,SGP Cozy Aircon Rm W Hsekeep n Laundry (1Pax)$850,28954164,Michelle,North Region,Woodlands,1.44349,103.79264,Private room,29,92,68,2021-01-31,0.79,3,325,0,
5634851,Beautiful Balinese studio,11463785,Dianne,Central Region,Kallang,1.31486,103.85689,Entire home/apt,85,92,3,2016-06-08,0.03,7,298,0,
5704432,My Crib,28106320,Jeremy,Central Region,Toa Payoh,1.3356,103.86592,Shared room,300,92,0,,,1,0,0,
5774164,Entire Apartment -Terrace Pool Gym,20639706,Max,Central Region,Geylang,1.31315,103.881,Entire home/apt,1600,92,8,2017-09-21,0.09,1,365,0,
5798211,The Studio Suite,30080617,Eddie,East Region,Tampines,1.34571,103.96073,Private room,70,92,151,2019-07-10,1.77,5,365,0,
5819462,standard room with air conditioner,20712244,Huan,North-East Region,Sengkang,1.38777,103.89649,Shared room,121,92,0,,,1,0,0,
5827713,The Private Sanctuary,30080617,Eddie,East Region,Tampines,1.3464,103.96256,Private room,70,92,286,2021-07-30,3.29,5,356,1,
5827998,The Lily Room,30080617,Eddie,East Region,Tampines,1.3446,103.96223,Private room,60,92,296,2019-06-28,3.38,5,102,0,
5882204,Minimum 90 days rental,30542551,Allendgs,East Region,Bedok,1.3212,103.91483,Private room,172,92,0,,,1,0,0,
5889741,Entire Home in the Heart of City,5365111,Y,Central Region,Rochor,1.30153,103.85344,Entire home/apt,173,92,212,2021-12-03,2.43,1,102,3,
5908083,FS S1 Farrer Park studio with Balcony/kitchen/bath,7095710,Elise,Central Region,Kallang,1.31642,103.85759,Entire home/apt,110,92,79,2022-05-15,0.93,10,286,4,
5919270,The Antiquity Room,30080617,Eddie,East Region,Tampines,1.346,103.9626,Private room,80,92,248,2022-01-20,2.85,5,277,1,
6020248,"Room with attached bathroom, 1min to Holland V MRT",25185912,Rebekah,Central Region,Bukit Timah,1.31132,103.79736,Private room,82,92,8,2018-10-02,0.09,16,365,0,
6079533,Master room 2 with a pool view,31557595,Jay,East Region,Pasir Ris,1.35894,103.96465,Private room,50,92,0,,,4,326,0,
6147375,Common Room @ Reasonable Price,31212677,Shyam,North-East Region,Punggol,1.40015,103.90537,Private room,49,180,0,,,2,365,0,
6261313,"HVIr5 -Holland Village Condo, 1 min from HV MRT",25185912,Rebekah,Central Region,Bukit Timah,1.31107,103.79687,Private room,67,92,10,2019-09-15,0.12,16,231,0,
6287204,Simple & Cozy 1 BD resort-like apt,32683666,Quinn,North Region,Woodlands,1.43012,103.78434,Entire home/apt,180,92,11,2019-07-01,0.14,1,133,0,
6300577,"1Min walk to MRT, Ensuite Studio Room for 1 person",26899710,Sebastian,Central Region,Geylang,1.32874,103.88439,Private room,96,92,25,2021-12-09,0.30,2,365,1,
6305559,Master The Sail@marina bay,32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.28191,103.85202,Private room,90,92,1,2016-03-24,0.01,45,364,0,
6317686,highrise EnsuiteM1A + attach bathrm (Non-Tourist),8948251,Joey,Central Region,Outram,1.2841,103.84253,Private room,45,92,1,2016-11-03,0.01,74,325,0,
6340605,Brand new studio apartment,33019244,Airena,Central Region,Novena,1.32515,103.84914,Entire home/apt,100,365,0,,,1,365,0,
6352827,Lor 17 L3R1 Masterbed room w private toilet,33096269,E C,Central Region,Geylang,1.31192,103.87922,Private room,60,92,128,2022-01-16,1.98,6,0,3,
6453321,Balinese room for rent,11463785,Dianne,North-East Region,Ang Mo Kio,1.36973,103.82847,Private room,38,92,1,2017-07-15,0.02,7,364,0,
6481052,premium 1 bed room · premium 1 bed room · 1 br 450sqft service apartment orchard near subway,7210103,Thanksgivings,Central Region,River Valley,1.296265,103.840942,Entire home/apt,294,6,44,2022-06-08,0.51,4,346,10,Authorised Serviced Apartment
6529707,Room 1 - Affordable room near the university,33003286,Suan Khim,West Region,Clementi,1.29575,103.76707,Private room,40,92,38,2021-04-29,0.45,2,160,0,Authorised Serviced Apartment
